ms,metal,md,taugas,com,M_tp,M_gi,M_rock,nplanets,ngi,n_r
0.8801136016845703,0.328145831823349,0.056,1644710.625,0.5288947660434666,18.307473686117124,33.85243865333919,9.132650126824085,12.0,3.0,9.0
1.0752691030502322,-0.1501600593328476,0.11,1014449.0625,2.4063001502408548,0.09933083532771482,0.0,17.678581108924774,13.0,1.0,12.0
0.8615948557853699,0.021272709593176842,0.12,1790533.125,1.0822987370704644,18.523433690922474,7.52854395775967,8.262408182116394,9.0,1.0,8.0
1.0766584873199463,-0.282408207654953,0.15,6017040.5,7.503350537430856,0.02480950919138749,0.0,7.884462021022945,9.0,0.0,9.0
1.2064448595047,-0.17403939366340634,0.17,3956707.5,5.247285276196174,0.1061390179866268,9.097662328635977,8.003117206613691,12.0,1.0,11.0
0.9860028028488159,0.3886128067970276,0.11,2435405.5,11.63502073264966,0.044366103369158104,0.0,14.099547650718447,11.0,0.0,11.0
1.2587469816207886,-0.35245949029922485,0.17,1107031.75,4.5138831789829394,0.04565986568309279,0.0,14.51070531408689,28.0,0.0,28.0
0.7397308349609375,0.12186644971370696,0.062,9050091.0,4.093908174478372,0.04346721312699917,0.0,13.81388033176034,12.0,0.0,12.0
0.993555784225464,-0.2357337325811386,0.015,2729899.5,3.1528256550017355,0.0014255275689096746,0.0,0.4530326613994946,4.0,0.0,4.0
0.7484395503997802,-0.11295174807310104,0.069,7350033.0,5.224114163531998,0.02479366492022847,0.0,7.879426711648608,11.0,0.0,11.0
1.0586106777191162,0.13673268258571625,0.037000000000000005,1188361.5,3.758775619275768,0.025221060275388826,0.0,8.01525295551857,27.0,0.0,27.0
0.8187181949615479,-0.006988266482949257,0.13,3987886.0,0.14053902430930296,5.723661721254939,0.0,6.22140122672813,7.0,1.0,6.0
0.7538620829582214,-0.09992839395999907,0.11,1472218.25,0.052767281195676384,13.585883214181132,0.0,10.187630079854118,9.0,1.0,8.0
0.9680908322334286,0.1544717252254486,0.15,3372165.0,9.796795622024495,0.04330106877097829,0.0,13.761079655416903,11.0,0.0,11.0
1.0911380052566526,-0.021362880244851112,0.061,3324268.75,5.109803123866465,0.046435641412634954,0.0,14.75724684093539,13.0,0.0,13.0
0.9784002304077148,-0.0422348752617836,0.024,1282901.75,3.3593141683389707,0.004252386812625302,0.0,1.351408529052321,10.0,0.0,10.0
0.9935493469238282,-0.03150779381394386,0.096,1439538.875,1.3846775945007204,0.14371915393875428,0.07508561463067251,22.024345283837064,11.0,1.0,10.0
0.9153018593788148,0.034827884286642075,0.15,3509155.75,10.992399885630311,0.024735620500875525,0.0,7.860980195178242,8.0,0.0,8.0
0.7833480834960939,-0.03911263495683672,0.09300000000000001,2520550.75,0.1171307126673385,4.316043831574686,0.0,13.609219744657045,13.0,1.0,12.0
1.1377465724945068,0.32353711128234863,0.1,4464832.0,7.6549932969412735,0.059828717888255036,0.0,19.013566544887453,8.0,0.0,8.0
1.366019368171692,-0.08728766441345216,0.053,2494020.5,4.910402464472041,0.021756998491704278,0.0,6.91437412066362,31.0,0.0,31.0
0.9899552464485168,-0.12510091066360474,0.039,4206453.5,4.449041096316655,0.02367154961390508,0.0,7.522818467299035,16.0,0.0,16.0
1.2967917919158936,0.0021624015644192696,0.03,5853356.5,4.831828121329688,0.01801750783631788,0.0,5.725963990381823,25.0,0.0,25.0
1.0371115207672121,0.03931472823023796,0.083,2374519.75,3.1397055590504985,0.752592197496011,0.5261179476439926,9.916940114916974,10.0,1.0,9.0
0.9414607286453244,0.264231950044632,0.08899999999999998,3180775.75,4.852663596136536,0.20960443772281623,0.0,12.7549667149615,10.0,1.0,9.0
0.9474843740463256,0.2306554615497589,0.044,4860345.0,4.613400361843674,0.027474947197066675,0.0,8.73153821922779,9.0,0.0,9.0
1.0146843194961546,-0.09399397671222688,0.033,3587078.25,3.8362710000344777,0.016890634889451948,0.0,5.3678437678678295,13.0,0.0,13.0
1.3558231592178345,-0.04213515669107437,0.11,4216293.5,5.084386523852522,0.07108416482236027,13.398882937132925,22.590547580546094,14.0,0.0,14.0
1.0207538604736326,0.2909475564956665,0.06,7861423.0,6.635452045543709,0.046787788731023065,0.0,14.869159258719131,12.0,0.0,12.0
0.9023563861846924,-0.30837008357048035,0.083,4340673.0,3.51539137517137,0.052959703177427285,0.0,16.830593669786392,12.0,0.0,12.0
1.262494683265686,-0.17170435190200806,0.047,1553983.5,4.275977204049433,0.008879521249630136,0.0,2.8219118531324576,21.0,0.0,21.0
0.9276817440986632,-0.14705291390419006,0.13,3146256.5,4.049208295746308,0.07191118411873837,0.0,22.853374312935056,12.0,0.0,12.0
0.8308178186416627,-0.04357607662677765,0.14,8286727.0,7.088501219327821,0.030204509744121703,0.0,9.598993196681878,11.0,0.0,11.0
1.3940466642379759,0.12445628643035887,0.07499999999999997,6763758.5,0.1717654283347047,9.658906856896698,9.787092316994116,18.137428237331328,12.0,1.0,11.0
1.3717401027679443,0.007457501720637083,0.095,2610816.25,2.7787525871614807,0.34512196955056135,0.034308213048272536,12.788976119112721,22.0,1.0,21.0
1.218989014625549,-0.11585485935211184,0.07299999999999998,8029113.5,8.132494630339638,0.026274320350591473,0.0,8.349979007417971,8.0,0.0,8.0
1.0623388290405271,0.19387945532798767,0.095,2539950.25,1.7428244000471698,34.563216527643974,0.37135664964555537,6.354862133655706,11.0,3.0,8.0
1.1895259618759153,-0.07295645028352737,0.064,2143751.75,4.535510989017236,0.033504011215190185,0.0,10.647574764187443,22.0,0.0,22.0
