sys_name,ms,dms,metal,dmetal,Mtp,dMtp,M_r,dM_r,M_gi,dM_gi,com,dcom,N_r,N_gi,n_planets
EPIC 249893012,1.05,0.05000000000000001,0.20000000000000004,0.05000000000000001,0.10572000000000001,0.016989999999999998,8.740775000000001,1.089025,0.07819000000000001,0.01356,0.1356537079076807,0.06915225593408526,1,2,3
Kepler-62,0.69,0.02,-0.36999999999999994,0.04,0.267,0.267,0.0,0.0,0.267,0.267,0.4962958801498127,0.9973333333333332,0,3,3
TOI-125,0.8590000000000001,0.038,-0.02,0.03,0.09356,0.00968,16.1163,1.8669000000000002,0.0428,0.0038,0.09739437793929027,0.02142459147554863,2,1,3
K2-239,0.4000000000000001,0.01,-0.10000000000000002,0.10000000000000002,0.011300000000000001,0.0034999999999999996,3.58775,1.11125,0.0,0.0,0.05629823008849557,0.03594900931944552,3,0,3
TOI-700,0.4160000000000001,0.01,-0.07,0.11,0.03607,0.0085,11.452224999999999,2.6987499999999995,0.0,0.0,0.10315503188245079,0.05774770643196096,3,0,3
GJ 9827,0.659,0.06,-0.28,0.12,0.032119999999999996,0.00465,10.1981,1.476375,0.0,0.0,0.03481848069738481,0.011313453774683666,3,0,3
HD 38529,1.48,0.05,0.27,0.05,24.63,3.21,0.0,0.0,24.63,3.21,3.560427527405603,0.9711074853013393,0,2,2
TOI-1266,0.45,0.03,-0.05,0.5,6.45,6.45,0.0,0.0,6.45,6.45,0.10555038759689923,0.21349534883720933,0,2,2
55 Cnc,1.015,0.051,0.31,0.04,0.86703,0.03235,8.582025,0.42862500000000003,0.84,0.031,0.11033633919241549,0.008302041074558715,1,1,2
HD 3167,0.94,0.04,-0.02,0.17,0.0466,0.0050999999999999995,14.7955,1.6192499999999999,0.0,0.0,0.1279862660944206,0.031845921825784225,2,0,2
TOI-216,0.77,0.03,-0.15,0.09,0.06076,0.00206,0.5588000000000001,0.019049999999999997,0.059000000000000004,0.002,0.13154489795918367,0.014107085085515447,1,1,2
K2-146,0.33,0.01,-0.02,0.12,0.04174,0.0005499999999999999,13.25245,0.17462499999999997,0.0,0.0,0.030954480114997605,0.0018156436047735672,2,0,2
TOI-561,0.805,0.03,-0.4,0.05,0.022000000000000002,0.00393,6.985,1.247775,0.0,0.0,0.07105,0.025423068181818182,2,0,2
HD 106315,1.09,0.04,-0.311,0.079,0.08746,0.02171,0.0,0.0,0.08746,0.02171,0.12509147038646237,0.06331949259192886,0,2,2
TOI-763,0.917,0.027999999999999997,0.01,0.05,0.06012,0.00566,19.088099999999997,1.79705,0.0,0.0,0.0795076513639388,0.016064758927476608,2,0,2
TOI-776,0.544,0.027999999999999997,-0.2,0.12,0.03386,0.00775,10.750549999999999,2.4606250000000003,0.0,0.0,0.08493301831069107,0.04059039846154329,2,0,2
HAT-P-46,1.284,0.06,0.3,0.1,2.493,0.352,0.0,0.0,2.493,0.352,0.3218797031688729,0.09901554573423316,0,2,2
TOI-402,0.851,0.034,0.03,0.04,0.05036,0.00775,15.9893,2.4606250000000003,0.0,0.0,0.09147388800635424,0.030813912471192324,2,0,2
