ms,metal,md,taugas,com,M_tp,M_gi,M_rock,nplanets,ngi,n_r
0.8801136016845703,0.328145831823349,0.056,1644710.625,1.2591926912696048,34.09077633016343,33.85243865333919,7.360720680465129,11.0,3.0,8.0
1.0752691030502322,-0.1501600593328476,0.11,1014449.0625,2.206417739621201,12.195852155856734,0.0,3.6078089272109897,8.0,1.0,7.0
0.8615948557853699,0.021272709593176842,0.12,1790533.125,2.3748314902327405,3.6076422832329635,7.52854395775967,15.291502870808198,13.0,1.0,12.0
1.0766584873199463,-0.282408207654953,0.15,6017040.5,7.121773413707736,0.0331035487078473,0.0,10.520307779353873,11.0,0.0,11.0
1.2064448595047,-0.17403939366340634,0.17,3956707.5,14.356889003974205,0.010952799679303085,9.097662328635977,3.4807997380825206,6.0,0.0,6.0
0.9860028028488159,0.3886128067970276,0.11,2435405.5,9.272451317594324,0.051752355235954034,0.0,16.446898493986193,10.0,0.0,10.0
1.2587469816207886,-0.35245949029922485,0.17,1107031.75,4.985124621401652,2.542436908157946,0.0,8.678656261276391,23.0,1.0,22.0
0.7397308349609375,0.12186644971370696,0.062,9050091.0,4.103571800476659,0.055365517845983134,0.0,17.595161571453442,15.0,0.0,15.0
0.993555784225464,-0.2357337325811386,0.015,2729899.5,3.1595185460467867,0.0020639085354752862,0.0,0.6559101325740461,7.0,0.0,7.0
0.7484395503997802,-0.11295174807310104,0.069,7350033.0,3.9547061091952314,0.030306666609669915,0.0,9.6314586485531,10.0,0.0,10.0
1.0586106777191162,0.13673268258571625,0.037000000000000005,1188361.5,3.7589141827526404,0.019584564015091323,0.0,6.223974443996023,20.0,0.0,20.0
0.8187181949615479,-0.006988266482949257,0.13,3987886.0,6.882841895724902,0.03628853012889472,0.0,11.532494874962744,8.0,0.0,8.0
0.7538620829582214,-0.09992839395999907,0.11,1472218.25,5.0992481134641885,1.9850310487396523,0.0,17.917800048602146,10.0,1.0,9.0
0.9680908322334286,0.1544717252254486,0.15,3372165.0,10.922762677473647,0.03917289642002077,0.0,12.4491464822826,9.0,0.0,9.0
1.0911380052566526,-0.021362880244851112,0.061,3324268.75,4.331511005936696,0.06367482830392691,0.0,20.235860434987973,15.0,0.0,15.0
0.9784002304077148,-0.0422348752617836,0.024,1282901.75,3.28378537310796,0.006243773605276807,0.0,1.9842712517569696,12.0,0.0,12.0
0.9935493469238282,-0.03150779381394386,0.096,1439538.875,3.764979309549416,2.7898406825669677,0.07508561463067251,16.518521285462658,14.0,3.0,11.0
0.9153018593788148,0.034827884286642075,0.15,3509155.75,10.06253796749944,0.03326442399641807,0.0,10.571433946061664,11.0,0.0,11.0
0.7833480834960939,-0.03911263495683672,0.09300000000000001,2520550.75,5.259030930700608,0.023728202497910744,0.0,7.540822753836036,8.0,0.0,8.0
1.1377465724945068,0.32353711128234863,0.1,4464832.0,11.464240179736631,0.03505086640246805,0.0,11.139165342704349,10.0,0.0,10.0
1.366019368171692,-0.08728766441345216,0.053,2494020.5,5.068735563542057,0.023214778970907665,0.0,7.377656756954456,31.0,0.0,31.0
0.9899552464485168,-0.12510091066360474,0.039,4206453.5,3.971122437630989,0.026425685672069318,0.0,8.39808290658363,14.0,0.0,14.0
1.2967917919158936,0.0021624015644192696,0.03,5853356.5,5.3671222146422615,0.015480038454157005,0.0,4.9195562207310966,20.0,0.0,20.0
1.0371115207672121,0.03931472823023796,0.083,2374519.75,3.0126649250453887,0.12096176180076179,0.5261179476439926,38.4416479002821,15.0,0.0,15.0
0.9414607286453244,0.264231950044632,0.08899999999999998,3180775.75,7.581706373328442,0.054652563709146826,0.0,17.368584746766864,9.0,0.0,9.0
0.9474843740463256,0.2306554615497589,0.044,4860345.0,5.471206611181054,0.032227456727091236,0.0,10.241885747869595,10.0,0.0,10.0
1.0146843194961546,-0.09399397671222688,0.033,3587078.25,4.382411387096877,0.010922864397211619,0.0,3.4712863054338525,13.0,0.0,13.0
1.3558231592178345,-0.04213515669107437,0.11,4216293.5,8.24934222504817,0.018189175197513088,13.398882937132925,5.78051987776966,7.0,0.0,7.0
1.0207538604736326,0.2909475564956665,0.06,7861423.0,6.277622018161639,0.055950327380454724,0.0,17.781014041508513,13.0,0.0,13.0
0.9023563861846924,-0.30837008357048035,0.083,4340673.0,3.8450826330755743,0.046564085518280715,0.0,14.798066377709613,16.0,0.0,16.0
1.262494683265686,-0.17170435190200806,0.047,1553983.5,4.462174801197657,0.007299171698689024,0.0,2.319676765843372,19.0,0.0,19.0
0.9276817440986632,-0.14705291390419006,0.13,3146256.5,6.766059908619027,0.03619834813392506,0.0,11.503835036961384,9.0,0.0,9.0
0.8308178186416627,-0.04357607662677765,0.14,8286727.0,7.011157197020968,0.04461111145697554,0.0,14.17741122102683,12.0,0.0,12.0
1.3940466642379759,0.12445628643035887,0.07499999999999997,6763758.5,0.3692068765456619,3.0601234583831087,9.787092316994116,16.83001296724052,12.0,1.0,11.0
1.3717401027679443,0.007457501720637083,0.095,2610816.25,5.083805249911396,2.4711178208111577,0.034308213048272536,5.91062020823713,12.0,2.0,10.0
1.218989014625549,-0.11585485935211184,0.07299999999999998,8029113.5,4.7670038651416675,0.033923766963295215,0.0,10.78097314093522,10.0,0.0,10.0
1.0623388290405271,0.19387945532798767,0.095,2539950.25,0.8415009643331728,26.40364363036696,0.37135664964555537,18.71174767806668,13.0,3.0,10.0
1.1895259618759153,-0.07295645028352737,0.064,2143751.75,4.824116220955948,0.026474359726258563,0.0,8.413551521004972,24.0,0.0,24.0
